name,os,power_state,virtualization_type
VMware VM 6.5 identified as ais-b2bqa-02_Restore on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-vdivcde-01.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-gheqa-02.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-ctmdev-02.asl.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-exfswqa-01.asl.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-MITEwbde-01.asl.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-rh72vm-01 on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-sqldev-21.asl.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ldn-ex13mqa-02 on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ldn-ex13cqa-01 on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-ul1404vm-01 on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-winops-02.asl.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-omsade-02 on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-itsmapde-21.asl.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-oagwqa-01.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-oagwqa-02.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.0 identified as ldn-msmesbra-01 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-bppmispr-04 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-oktadr-02.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-ps-03 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-wasdmdpr-01 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-blade8en-01 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-brpmdpr-02 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-siebdpr-08 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-tspwpr-02.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-infosec-01.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-ctxsdr-01 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-blade8st-01 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-megawdpr-01.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-tsispr-03.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-chatpr-01.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-baodr-01.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-brlmdpr-01 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-relaydpr-01 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-sbr-01 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-sqltest-02 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-tsispr-01.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-it2dpr-01.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-ucdashpr-01.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-fessrpr-01.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-ctmdr-04.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-ctmdpr-02.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-adweb-03 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-aes-rcc-02 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ais-awedr-02.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-gotodpr-01 on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-epdsdpr-01 on ldn-esxprod-03,,,
VMware VM 6.0 identified as AIS-BMADPR-01.asl.apexglobal.com on ldn-esxprod-03,,,
VMware VM 6.0 identified as ldn-st-02 on ldn-esxprod-03,,,
VMware VM 6.5 identified as phxdmz-efdev-01-old.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-blde-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-msdev-02.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-tbqa-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-gmpr-01 on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-wwsut-02.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-efqa-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-mspr-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-wwssit-02 on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-apvpr-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-fddev-02.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as mcr-epodmz-01 on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-fddev-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-bliut-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-wwsqa-02.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-wwsut-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-wmpr-02.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-ogdev-02.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-ogqa-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-gmdev-02 on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-fdpr-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as mcr-dxlproddmz-01-int on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-ogpr-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-dodev-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as mcr-vmupdater on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-gmdev-01 on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-mspr-02.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-avmpx-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-gmpr-02 on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-blqa-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-apvpr-02.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-msqa-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-wmpr-01.apexglobal.com on mcr-esxdmz-09,,,
VMware VM 6.5 identified as phxdmz-vmupdater on mcr-esxdmz-07,,,
VMware VM 6.5 identified as mcr-rememtdev-01 on mcr-esxdmz-07,,,
VMware VM 6.5 identified as mcr-rememtpr-01 on mcr-esxdmz-07,,,
VMware VM 6.5 identified as mcr-rememtuat-02 on mcr-esxdmz-07,,,
VMware VM 6.5 identified as mcr-rememtpr-03 on mcr-esxdmz-07,,,
VMware VM 6.5 identified as mcr-rememtuat-01 on mcr-esxdmz-07,,,
VMware VM 6.5 identified as mcr-rememtpr-02 on mcr-esxdmz-07,,,
VMware VM 6.5 identified as mcr-docupr-ws01 on mcr-esxdmz-07,,,
VMware VM 6.5 identified as phxdmz-avmpx-03.apexglobal.com on mcr-esxdmz-07,,,
VMware VM 6.5 identified as phxdmz-avmpx-06.apexglobal.com on mcr-esxdmz-07,,,
VMware VM 6.5 identified as mcr-rememtdev-02 on mcr-esxdmz-07,,,
VMware VM 6.5 identified as phxdmz-trk-demo on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-sbepr-01 on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-rppr-02 on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-itda-02.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-ctsap-01.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-fppr-01.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as Phxdmz-exepr-02.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-exeqa-02.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as mcr-remedy-01-int on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-s4brp-01.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-avmpx-05.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-ipass-01.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-s4be-02 on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-gops15 on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-segqa-01.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-bppm-01 on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-hdod-01.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-VPROde-01.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-sbepr-02 on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-fprx-03.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-srppr-01.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as Phxdmz-SEGPR-02.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-arrqa-01 on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-btati-20.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-s4be-01 on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-fprx-06.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-srppr-02.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-myitqa-1.apexglobal.com on mcr-esxdmz-10,,,
VMware VM 6.5 identified as phxdmz-blqa-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-jss-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-wwssit-01 on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-tbqa-01-OLD.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-wwsde-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-msqa-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-efdev-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-dopr-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-csecepm-03.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-blpr-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-wmde-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-tbdev-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-csecepm-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-ogqa-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-wwsqa-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-wwspr-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-ogdev-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-wwsde-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-addispr-01 on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-avmpx-04.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-fdpr-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-tbpr-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-jss-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-rhrepo-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-ogqa-01.apexglobal.com-OLD on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-mstest-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-wmqa-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-efpr-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-blpr-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-polypr-int-01 on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-wwspr-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-ogqa-02.apexglobal.com-OLD on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-ogpr-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-wmqa-02.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as oag-2020.4.4-31f10a0 on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-msdev-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as mcr-tieproddmz-01-int on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-addisqa-01 on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-blsit-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-csecepm-01.apexglobal.com on mcr-esxdmz-08,,,
VMware VM 6.5 identified as phxdmz-trk-01 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-exeqa-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-bselicpr-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-segpr-01 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-bselicqa-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-2012R2-template on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-ctmde-22.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-segpr-02 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as Phxdmz-AWRQA-01 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-s4bqa-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-concepts.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as Phxdmz-Win2012R2 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as mcr-ipass-02 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-iopoc-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as Phxdmz-SEGPR-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-rpqa-02.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-myitde-1 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as Phxdmz-exepr-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-tmg-04 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-fpsrv-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-ctmou-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-avmpx-02.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-myitwb-1 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-tsipr-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-beta on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-ctrlm-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-arrqa-02 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-epodm-01 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-trkit-01.apexglobal.com on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-rppr-01 on mcr-esxdmz-11,,,
VMware VM 6.5 identified as phxdmz-numr-01.apexglobal.com on mcr-esxdmz-11,,,
Solaris Zone Container identified as ldn-ldapdpr-01 on ldn-t4dpr-01,,,
Solaris Zone Container identified as ldn-itam-01 on ldn-t4dpr-01,,,
Solaris Zone Container identified as prodnis1 on ldn-t4dpr-01,,,
Solaris Zone Container identified as ldn-remarsdpr-01 on ldn-t4prdlb-01,,,
Solaris Zone Container identified as ldn-remarsdpr-02 on ldn-t4prdlb-01,,,
Solaris Zone Container identified as ldn-remarsdpr-03 on ldn-t4prdlb-01,,,
Solaris Zone Container identified as ldn-siebprdw-01 on ldn-t4prdlb-01,,,
Solaris Zone Container identified as fs-ftp on ldn-t4dpr-02,,,
Solaris Zone Container identified as ldn-cvs-01 on ldn-t4dpr-02,,,
Solaris Zone Container identified as prodnis3 on ldn-t4dpr-02,,,
Solaris Zone Container identified as ldn-siebprdw-05 on ldn-t4dpr-02,,,
Solaris Zone Container identified as jserver on ldn-t4devqa-02,,,
Solaris Zone Container identified as ldn-brnmc-01 on ldn-t4devqa-02,,,
Solaris Zone Container identified as bl-tmp-sol10-01 on ldn-t4devqa-02,,,
Solaris Zone Container identified as ldn-wspdev-ws02 on ldn-t4devqa-02,,,
Solaris Zone Container identified as wwwqa-ws01 on ldn-t4devqa-02,,,
VMware VM 6.5 identified as ais-bsademo-02 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as bare-metal-test on ais-esxdevqa-10,,,
VMware VM 6.5 identified as test-ak on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-swiftjump-1.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ldn-basdev-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-dsojdkde-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ldn-patrwqa-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as nepsrv23 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-avmpxyqa-01.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-lemp-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as AIS-NS-TEST-04 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-bmcaide-03.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-sightqa-02 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-bktestde-01.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-hyesbqa-01.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-b2bdev-02.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-apmqa-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-hyplaqa-01.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-sqlqa-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-cisde-01.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-mlcmdev-02 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ldn-besdvdr-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-cse-1909 template on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-spaddrde-01.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-hyepmqa-01.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-ctmqa-03 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-digsolqa-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-devopsu-02 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-sles12vm-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-test-12 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-dockerde-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-ipassqa-02.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-noccamde-01.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as LDN-REFDEP-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-varocoqa-01.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ldn-netops-02.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-spwfdrde-01.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-kofdev-01.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ldn-alcmdev-02 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-cse-test3 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ldn-ctmqa-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ldn-winops-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-ucxprtde-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-itedshde-02.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-glonet-01 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-sqlqa-02.asl.apexglobal.com on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ais-rodcdev-03 on ais-esxdevqa-10,,,
VMware VM 6.5 identified as ldn-bppmisqa-01 on ais-esxdevqa-10,,,
